id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
643389,Rental unit in Toronto · ★4.0 · Studio · 1 bed · 1 bath,3217095,Mark,,South Parkdale,43.63589,-79.42796,Entire home/apt,65,28,3,2017-05-20,0.04,1,0,0,
643916,Guest suite in Toronto · ★4.75 · 1 bedroom · 1 bed · 1 bath,574360,Yvonne,,Junction Area,43.66308,-79.47795,Entire home/apt,120,28,5,2016-04-27,0.05,1,333,0,
1194984,Home in Toronto · ★4.27 · 1 bedroom · 1 bed · 1 private bath,6530148,Lin,,Roncesvalles,43.644,-79.4427,Private room,65,28,24,2017-08-26,0.20,1,88,0,
1419,Home in Toronto · ★5.0 · 5 bedrooms · 7 beds · 3 baths,1565,Alexandra,,Little Portugal,43.6459,-79.42423,Entire home/apt,469,28,7,2017-12-04,0.07,1,0,0,
654048,Home in Toronto · ★4.94 · 4 bedrooms · 5 beds · 1.5 baths,3289972,Minoo,,Morningside,43.7837,-79.20675,Entire home/apt,190,28,17,2023-05-01,0.13,1,300,2,
8077,Rental unit in Toronto · ★4.84 · 1 bedroom · 1 bed · 1.5 baths,22795,Kathie & Larry,,Waterfront Communities-The Island,43.6408,-79.37673,Private room,101,180,169,2013-08-27,1.01,2,365,0,
1196880,Condo in Toronto · ★4.91 · 1 bedroom · 1 bed · 1 bath,6539250,Jennifer,,Niagara,43.64175,-79.41108,Entire home/apt,123,90,11,2019-04-25,0.12,1,210,0,
655522,Rental unit in Toronto · ★4.81 · 1 bedroom · 1 bed · 1 bath,3299954,Basil,,Kensington-Chinatown,43.65667,-79.39539,Entire home/apt,85,28,29,2018-08-10,0.22,1,0,0,
26654,Condo in Toronto · ★4.78 · 1 bedroom · 2 beds · 1 bath,113345,Adela,,Waterfront Communities-The Island,43.64608,-79.39032,Entire home/apt,145,28,41,2021-01-31,0.27,3,281,0,
666670,Rental unit in Toronto · ★4.56 · 1 bedroom · 1 bed · 1 bath,377846,Nick & Nena,,East End-Danforth,43.68614,-79.29126,Entire home/apt,81,28,46,2023-03-07,0.38,13,308,1,
1202446,Home in Toronto · ★4.63 · 2 bedrooms · 2 beds · 1 shared bath,2929374,Brahm,,Waterfront Communities-The Island,43.64482,-79.39416,Private room,125,1,92,2023-05-20,0.76,3,2,31,
669162,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,2942180,Jerry,,Cabbagetown-South St.James Town,43.66667,-79.37502,Entire home/apt,225,28,0,,,1,358,0,
670171,Home in Toronto · 1 bedroom · 2 beds · 1 bath,3395349,Suzanna,,High Park North,43.65627,-79.45863,Entire home/apt,95,28,0,,,1,322,0,
1209935,Home in Toronto · ★4.94 · 2 bedrooms · 2 beds · 1 bath,195472241,Vesta,,Cabbagetown-South St.James Town,43.66483,-79.36945,Entire home/apt,236,28,52,2022-12-11,0.49,1,157,27,STR-2012-HJKVHK
27423,Rental unit in Toronto · ★4.92 · Studio · 1 bed · 1 bath,118124,Brent,,South Riverdale,43.66884,-79.32725,Entire home/apt,45,90,27,2022-12-25,0.17,1,120,1,
30931,Rental unit in Toronto · 1 bedroom · 2 beds · 1.5 baths,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64015,-79.37625,Entire home/apt,134,180,1,2010-08-11,0.01,2,365,0,
701230,Loft in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 bath,3587917,Darby,,High Park North,43.65873,-79.45336,Entire home/apt,100,28,15,2018-07-31,0.12,1,0,0,
702286,Rental unit in Toronto · ★4.47 · 1 bedroom · 2 beds · 1 bath,3604846,Wies,,High Park-Swansea,43.65374,-79.45359,Entire home/apt,144,28,19,2022-08-06,0.15,4,258,1,
1214297,Home in Toronto · ★4.59 · 2 bedrooms · 3 beds · 1 bath,3604846,Wies,,High Park-Swansea,43.65305,-79.45495,Entire home/apt,144,30,20,2019-06-20,0.17,4,219,0,
703124,Home in Toronto · ★4.82 · 3 bedrooms · 4 beds · 1 bath,3604846,Wies,,High Park-Swansea,43.65329,-79.45257,Entire home/apt,195,30,23,2021-11-01,0.20,4,309,0,
40456,Home in Toronto · ★4.64 · 2 bedrooms · 2 beds · 1 bath,174063,Denis,,South Parkdale,43.63539,-79.4401,Entire home/apt,150,31,115,2023-05-16,0.74,4,350,1,
703133,Home in Toronto · ★4.25 · 2 bedrooms · 3 beds · 1 bath,3604846,Wies,,High Park-Swansea,43.65563,-79.45259,Entire home/apt,170,31,4,2019-04-20,0.03,4,217,0,
40701,Rental unit in Toronto · ★4.60 · 1 bedroom · 1 bed · 1 bath,175687,John,,The Beaches,43.67239,-79.28858,Entire home/apt,90,28,5,2023-03-05,0.04,1,106,3,
