id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
705308697248180835,Townhouse in Toronto · 1 bedroom · 1 bed · 1 shared bath,409774945,Michael,,University,43.65944,-79.40068,Private room,75,28,2,2023-02-28,0.37,9,0,2,
23199696,Rental unit in Toronto · Studio · 1 bed · 1 bath,76661726,Ronak,,Bay Street Corridor,43.65293,-79.38369,Entire home/apt,180,28,0,,,1,0,0,
24671450,Condo in Toronto · 1 bedroom · 1 bed · 1 bath,186458646,Barbara,,Bay Street Corridor,43.65403,-79.38209,Entire home/apt,147,28,0,,,1,0,0,
35168234,Home in Toronto · ★0.0 · Studio · 1 bed · 1 shared bath,264860902,Ramazan,,Blake-Jones,43.67594,-79.34209,Private room,30,28,3,2019-06-06,0.06,1,0,0,
24897044,Rental unit in Toronto · ★4.55 · 1 bedroom · 1 bed · 1 bath,6789696,Ted,,South Riverdale,43.67074,-79.33536,Entire home/apt,93,28,60,2020-01-25,0.99,3,0,0,
25138121,Rental unit in Toronto · Studio · 1 bed · 1 shared bath,141741295,Ivan,,Moss Park,43.65694,-79.35473,Private room,90,28,0,,,2,0,0,
25397695,Rental unit in Toronto · ★3.75 · Studio · 1 bed · 1 bath,7122687,Aurore,,Dovercourt-Wallace Emerson-Junction,43.66696,-79.44459,Entire home/apt,50,28,8,2018-08-31,0.14,1,0,0,
35719663,Home in Toronto · ★4.76 · 1 bedroom · 1 bed · 2 shared baths,268691814,Brayden,,Pelmo Park-Humberlea,43.71134,-79.50612,Private room,27,28,33,2020-04-03,0.69,5,0,0,
26572424,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,199811566,Valeria,,University,43.65933,-79.40201,Private room,30,28,0,,,1,0,0,
26588202,Condo in Toronto · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,52768970,Jordan,,Waterfront Communities-The Island,43.63817,-79.38853,Private room,65,28,7,2018-07-21,0.12,1,0,0,
41020749,Condo in Toronto · 1 bedroom · 1 bed · 1 shared bath,119789100,Thomas,,Waterfront Communities-The Island,43.64075,-79.3897,Private room,61,28,0,,,1,0,0,
26900626,Condo in Toronto · ★4.94 · 2 bedrooms · 2 beds · 1 bath,202359572,James,,Waterfront Communities-The Island,43.64457,-79.39837,Entire home/apt,225,28,81,2020-01-04,1.39,1,0,0,
26956370,Condo in Toronto · 2 bedrooms · 2 beds · 2 baths,123681217,Andy,,Mount Pleasant West,43.70943,-79.39238,Entire home/apt,160,28,0,,,1,0,0,
41060138,Guest suite in Toronto · 1 bedroom · 1 bath,151785244,Puneet,,Islington-City Centre West,43.62459,-79.52106,Private room,40,28,0,,,1,0,0,
27357382,Loft in Toronto · 1 bedroom · 2 beds · 2 baths,206160593,Kerri,,Niagara,43.63766,-79.40254,Entire home/apt,125,28,0,,,1,0,0,
27470998,Rental unit in Toronto · ★4.94 · 1 bedroom · 2 beds · 1 bath,141417092,Adriana,,Little Portugal,43.65147,-79.4338,Entire home/apt,82,28,18,2019-06-21,0.31,1,0,0,
27576823,Home in Toronto · Studio · 1 bed · 1 shared bath,208071505,Maddie,,Leaside-Bennington,43.70008,-79.36358,Private room,100,28,0,,,1,0,0,
27578429,Home in Toronto · ★4.82 · 1 bedroom · 1 bed · 1 bath,60536939,Spo,,Yonge-Eglinton,43.70959,-79.401,Entire home/apt,165,28,22,2019-10-06,0.38,1,0,0,
28890464,Guest suite in Toronto · Studio · 1 bed · 1 bath,217561539,Guido,,Rockcliffe-Smythe,43.67057,-79.48864,Entire home/apt,17,28,0,,,1,0,0,
28960417,Condo in Toronto · 1 bedroom · 1 bed · 1 bath,21370778,Calvin,,Waterfront Communities-The Island,43.64226,-79.39151,Entire home/apt,100,28,2,2019-01-01,0.04,1,0,0,
41829476,Condo in Toronto · ★4.33 · 1 bedroom · 1 bed · 1 bath,147779338,Alen,,Newtonbrook East,43.78077,-79.41351,Entire home/apt,70,28,21,2020-04-30,0.54,1,0,0,
39671645,Rental unit in Toronto · 1 bedroom · 1 bed · 1 shared bath,304898878,Fassika,,O'Connor-Parkview,43.70084,-79.29875,Private room,54,28,0,,,1,0,0,
33048584,Home in Toronto · 1 bedroom · 1 bed · 1 private bath,186795198,Stacey,,Dorset Park,43.75775,-79.28238,Private room,50,28,0,,,1,0,0,
403200,Rental unit in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 private bath,195095,Urbano,,Rosedale-Moore Park,43.67176,-79.38555,Private room,89,28,4,2022-09-19,0.03,13,316,1,
49995245,Rental unit in Toronto · 1 bedroom · 1 bed · 1 shared bath,180651381,Mohammed,,Eringate-Centennial-West Deane,43.65482,-79.56904,Private room,100,30,0,,,1,180,0,
42813879,Condo in Toronto · 1 bedroom · 1 bed · Shared half-bath,196021995,Karen,,Church-Yonge Corridor,43.65571,-79.37553,Private room,40,28,0,,,1,0,0,
12421456,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,67185985,Esther,,Palmerston-Little Italy,43.6608,-79.41857,Private room,25,28,1,2016-04-18,0.01,1,0,0,
15400413,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,26752232,Ana Paula,,High Park North,43.65429,-79.46679,Private room,76,28,0,,,1,0,0,
784141291829736669,Rental unit in Toronto · ★New · Studio · 1 bed · 1 bath,33127781,Fuat,,South Parkdale,43.6366157,-79.4276532,Entire home/apt,93,4,0,,,1,155,0,STR-2212-JFPBHZ
6149212,Home in Toronto · ★4.85 · 3 bedrooms · 4 beds · 1.5 baths,11023940,Jack,,Annex,43.66765,-79.41825,Entire home/apt,375,5,13,2021-08-19,0.14,1,28,0,STR-2010-GPQKPG
705667902362743187,Guest suite in Toronto · ★4.88 · 1 bedroom · 1 bed · 1 bath,476534754,Sergio,,Greenwood-Coxwell,43.6747232,-79.3202381,Entire home/apt,206,28,8,2023-03-09,1.05,4,363,8,Exempt
11161939,Home in Toronto · 2 bedrooms · 1 bed · 1 bath,52231951,Brian,,Greenwood-Coxwell,43.66594,-79.31878,Entire home/apt,57,180,0,,,1,180,0,
806686527225509074,Rental unit in Toronto · Studio · 1 bed · 1 bath,474972308,Minh Hai,,Bay Street Corridor,43.652691495157235,-79.38021697485281,Entire home/apt,150,28,2,2023-04-10,0.78,2,90,2,STR-2207-HTGRVL
740760869057285118,Condo in Toronto · 2 bedrooms · 3 beds · 1 bath,55442,Furnished Condo Toronto,,Bay Street Corridor,43.66035,-79.38335,Entire home/apt,366,28,0,,,22,83,0,
10361301,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,53327872,Kosta,,Old East York,43.69064,-79.34869,Shared room,14,28,0,,,1,0,0,
33959385,Condo in Toronto · 1 bedroom · 3 beds · 1 bath,15015489,Eyal,,Waterfront Communities-The Island,43.64072,-79.38968,Entire home/apt,120,28,0,,,1,0,0,
24892225,Condo in Toronto · 1 bedroom · 1 bed · 1 bath,28752665,Jay,,Niagara,43.63743,-79.40512,Entire home/apt,120,28,0,,,1,0,0,
41046538,Home in Toronto · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,301284218,Luke,,University,43.65682,-79.40613,Private room,60,28,6,2020-11-16,0.15,9,0,0,
28273239,Condo in Toronto · 2 bedrooms · 3 beds · 2 baths,213530445,Lili,,Willowdale East,43.77614,-79.41279,Entire home/apt,165,30,0,,,1,0,0,
37571468,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,283849803,James,,Junction Area,43.67161,-79.4734,Private room,60,28,1,2019-08-11,0.02,1,0,0,
29936637,Rental unit in Toronto · 1 bedroom · 1 bed · 1 shared bath,176226905,Miguel,,Clanton Park,43.75345,-79.43825,Private room,60,28,0,,,1,0,0,
32616857,Townhouse in Toronto · ★5.0 · 2 bedrooms · 2 beds · 1 bath,179859829,Yvonne,,Cabbagetown-South St.James Town,43.66749,-79.36572,Entire home/apt,149,28,3,2019-04-25,0.06,1,0,0,
53753280,Home in Toronto · 1 bedroom · 1 bath,213612,Shiro,,Cabbagetown-South St.James Town,43.66479,-79.37402,Private room,85,28,2,2023-04-30,0.24,17,231,2,
683353977200858999,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,245417090,Kai,,Kensington-Chinatown,43.6552139,-79.4068988,Private room,55,28,1,2023-01-26,0.28,22,0,1,
819229530039901046,Home in Toronto · 1 bedroom · 1 bed · 1 private bath,495460361,Tzu-Wei,,South Parkdale,43.63599026582788,-79.44294220369358,Private room,150,28,0,,,11,110,0,
11545886,Rental unit in Toronto · Studio · 1 bed · 1 bath,9737179,Rachel,,Church-Yonge Corridor,43.66723,-79.38425,Entire home/apt,100,28,0,,,1,0,0,
618257900172113049,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,272046245,Naira,,Wexford/Maryvale,43.74687,-79.30916,Private room,21,30,0,,,18,334,0,
44634645,Condo in Toronto · 1 bedroom · 1 bed · 2.5 baths,35818627,Ananna,,Flemingdon Park,43.71237,-79.33041,Private room,100,28,0,,,1,268,0,
638639739517684161,Rental unit in Toronto · ★4.89 · 2 bedrooms · 3 beds · 1 bath,121176778,Arun P,,Scarborough Village,43.748535,-79.213547,Entire home/apt,139,1,70,2023-05-07,6.12,1,185,70,STR-2205-GDKBHF
