id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.6459,-79.42423,Entire home/apt,469,28,7,2017-12-04,0.08,1,0,0,
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.6408,-79.37673,Private room,103,180,169,2013-08-27,1.05,2,365,0,
26654,World Class downtown @CN Tower Theatre MTCC games!,113345,Adela,,Waterfront Communities-The Island,43.64608,-79.39032,Entire home/apt,125,28,41,2021-01-31,0.28,1,105,0,
403200,Yonge & Bloor Lakview Bedroom,195095,Urbano,,Rosedale-Moore Park,43.67176,-79.38555,Private room,89,28,4,2022-09-19,0.04,16,127,1,
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,South Riverdale,43.66884,-79.32725,Entire home/apt,45,90,26,2011-08-30,0.17,1,76,0,
406646,1BR-Close to Don Mills & Eglinton 202,1854872,Nadarajah,,Flemingdon Park,43.72054,-79.33524,Private room,45,28,37,2022-10-01,0.33,5,277,4,
959676,Artists 1br Church/Alexander St,5214021,Michael,,Church-Yonge Corridor,43.66498,-79.37963,Entire home/apt,150,28,29,2015-09-28,0.26,2,347,0,
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64015,-79.37625,Entire home/apt,136,180,1,2010-08-11,0.01,2,365,0,
40456,Downtown- King Size Bed and Parking,174063,Denis,,South Parkdale,43.63539,-79.4401,Entire home/apt,125,60,114,2022-01-29,0.76,4,233,1,
960627,Quiet room with two beds @King/Spadina,2929374,Bert,,Waterfront Communities-The Island,43.64508,-79.39466,Private room,149,1,41,2022-10-12,0.35,3,7,2,STR-2012-HTGBHL
413276,Yonge & Wellesley Prime Downtown Full Apartment,2056128,Robert,,Church-Yonge Corridor,43.66429,-79.383,Entire home/apt,356,4,73,2022-10-17,0.58,2,141,5,STR-2204-GLMPHG
415104,Furnished Luxury Condos North York,2064477,David,,Willowdale East,43.76127,-79.40824,Entire home/apt,150,30,6,2022-08-25,0.15,4,88,2,
40701,"Bright Beaches Apt, close to everything",175687,John,,The Beaches,43.67239,-79.28858,Entire home/apt,78,28,4,2022-10-01,0.04,1,72,3,
415110,Downtown Furnished Luxury Condo Toronto,2064477,David,,Waterfront Communities-The Island,43.64411,-79.39142,Entire home/apt,160,30,2,2022-05-31,0.05,4,178,1,
415111,Luxury Condo North York - Two Bedroom Suite,2064477,David,,Willowdale East,43.76292,-79.40878,Entire home/apt,225,30,5,2019-09-11,0.12,4,89,0,
42892,Downtown 3 Beds 2 Baths @ Union & Harbourfront,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.6445,-79.38019,Entire home/apt,145,119,0,,,7,307,0,
415135,Torontos Entertainment District,2064477,David,,Waterfront Communities-The Island,43.64615,-79.39275,Entire home/apt,155,30,5,2022-09-11,0.08,4,358,3,
977495,Toronto East End Apart. in Greek Town - Cosy Nest,5348675,Elizabeth,,Playter Estates-Danforth,43.68023,-79.36047,Entire home/apt,84,28,8,2018-08-04,0.07,1,277,0,
985003,"",2396097,Jeff (Jean-Francois),,South Riverdale,43.66517,-79.34037,Entire home/apt,85,4,87,2022-10-17,0.76,1,243,11,STR-2012-HQZBHK
985072,Recently Renovated Studio Apartment,1019538,Stefan,,Little Portugal,43.64584,-79.43514,Entire home/apt,110,28,238,2022-10-27,2.04,2,291,59,STR-2010-GPKRPG
43964,Entire 2-bedrm basement private entry free parking,192364,Mitra,,Wexford/Maryvale,43.74922,-79.29188,Entire home/apt,150,28,53,2022-09-18,0.75,1,364,18,STR-2012-FMQPHC
429943,Super Studio in the Upper Beach,377846,Nick & Nena,,East End-Danforth,43.68672,-79.29328,Entire home/apt,60,28,46,2022-08-31,0.36,10,187,5,
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,126,28,64,2022-08-31,0.43,16,332,5,
