id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
533659,Best View in Downtown 5 Star Luxury 1+1 w/office,1019968,Roman,,Waterfront Communities-The Island,43.63927,-79.38206,Entire home/apt,226,14,168,2023-01-03,1.30,1,154,10,STR-2011-FLKRVB
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.6408,-79.37673,Private room,101,180,169,2013-08-27,1.03,2,365,0,
537679,NIce room with private bathroom,2586974,Yin,,Mimico (includes Humber Bay Shores),43.62452,-79.48793,Private room,200,28,0,,,1,365,0,
26654,World Class downtown @CN Tower Theatre MTCC games!,113345,Adela,,Waterfront Communities-The Island,43.64608,-79.39032,Entire home/apt,125,28,41,2021-01-31,0.28,3,190,0,
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,South Riverdale,43.66884,-79.32725,Entire home/apt,45,90,27,2022-12-25,0.17,1,159,1,
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.6459,-79.42423,Entire home/apt,469,28,7,2017-12-04,0.08,1,0,0,
543810,Spacious 1+1 Condo Downtown Toronto,2671905,R.,,Waterfront Communities-The Island,43.63942,-79.39216,Entire home/apt,199,28,11,2015-08-16,0.10,1,0,0,
655522,Sunny and Charming Apartment,3299954,Basil,,Kensington-Chinatown,43.65667,-79.39539,Entire home/apt,85,28,29,2018-08-10,0.23,1,0,0,
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64015,-79.37625,Entire home/apt,134,180,1,2010-08-11,0.01,2,365,0,
547777,A Beautiful Funky Toronto Apartment,2692759,Ayelet And Sean,,Palmerston-Little Italy,43.66051,-79.42741,Entire home/apt,90,28,3,2017-10-17,0.02,1,0,0,
571429,Chic Upper Beach 3 Bedroom Beauty,377846,Nick & Nena,,East End-Danforth,43.68519,-79.29338,Entire home/apt,139,28,32,2021-10-09,0.26,10,343,0,
666670,Super Studio in the Upper Beach II,377846,Nick & Nena,,East End-Danforth,43.68614,-79.29126,Entire home/apt,67,28,45,2020-03-31,0.38,10,337,0,
573892,DOWNTOWN TORONTO LUXURY FURNISHED CORPORATE SUITE,2175675,Frank,,Waterfront Communities-The Island,43.64278,-79.37985,Entire home/apt,105,28,84,2022-08-18,0.66,4,183,2,
669162,SPECTACULAR VIEW DWNTOWN TORONTO.,2942180,Jerry,,Cabbagetown-South St.James Town,43.66667,-79.37502,Entire home/apt,225,28,0,,,1,358,0,
40456,Downtown- King Size Bed and Parking,174063,Denis,,South Parkdale,43.63539,-79.4401,Entire home/apt,150,60,114,2022-01-29,0.75,4,328,0,
593324,Charming Victorian in Leslieville,2929774,Susan,,South Riverdale,43.66114,-79.34742,Entire home/apt,115,28,7,2015-10-06,0.06,1,0,0,
40701,"Bright Beaches Apt, close to everything",175687,John,,The Beaches,43.67239,-79.28858,Entire home/apt,90,28,4,2022-10-01,0.03,1,12,2,
670171,Refreshing High Park Apt - close to Lake / Nature,3395349,Suzanna,,High Park North,43.65627,-79.45863,Entire home/apt,95,28,0,,,1,334,0,
701230,Authentic Bright Artist's Loft,3587917,Darby,,High Park North,43.65873,-79.45336,Entire home/apt,100,28,15,2018-07-31,0.13,1,0,0,
602407,Large bedroom with private bathroom,2980659,Nanou,,Woodbine Corridor,43.67774,-79.31352,Private room,71,28,40,2019-08-10,0.31,1,364,0,
702286,Beautiful Garden Apt With Porches,3604846,Wies,,High Park-Swansea,43.65374,-79.45359,Entire home/apt,142,28,19,2022-08-06,0.15,4,274,1,
620965,Private Room in Artist Home by Transit,897683,Hajnal,,Birchcliffe-Cliffside,43.70396,-79.24856,Private room,38,28,29,2023-01-31,0.23,2,119,1,STR-2010-GCSXPF
703124,Beautiful large 3 bdrm in High Park Roncesvalles,3604846,Wies,,High Park-Swansea,43.65329,-79.45257,Entire home/apt,185,28,23,2021-11-01,0.21,4,252,0,
42892,Downtown 3 Beds 2 Baths @ Union & Harbourfront,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.6445,-79.38019,Entire home/apt,130,119,0,,,7,245,0,
624190,Danforth/Greek Town  appartment,3096162,Brigitt,,Broadview North,43.69032,-79.35236,Entire home/apt,450,28,0,,,1,0,0,
703133,2 BDRM 2000SF Executive Suite,3604846,Wies,,High Park-Swansea,43.65563,-79.45259,Entire home/apt,170,30,4,2019-04-20,0.03,4,252,0,
625877,Calming Bedroom 2 - Beaches Toronto,2268652,Julie,,Woodbine Corridor,43.67639,-79.31017,Private room,37,30,20,2022-12-03,0.19,3,157,3,
728817,Charming Victorian Home,3783106,Jeremy And Monica,,Roncesvalles,43.64147,-79.44633,Entire home/apt,485,5,12,2022-08-07,0.10,1,58,3,STR-2012-HGVHHJ
43964,Two bedrm basement apt private entry free parking,192364,Mitra,,Wexford/Maryvale,43.74922,-79.29188,Entire home/apt,160,2,54,2022-12-31,0.73,1,364,19,STR-2012-FMQPHC
625942,Calming Bedroom 3 - Beaches Toronto,2268652,Julie,,Woodbine Corridor,43.67739,-79.31034,Private room,37,28,9,2017-10-08,0.08,3,0,0,
627217,parking space only,3057451,Jessica,,Weston-Pellam Park,43.67368,-79.46032,Shared room,100,28,0,,,1,0,0,
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,126,28,65,2022-12-07,0.43,13,341,5,
756619,Winchester Suite /  Large Modern Bedroom Downtown,3982898,Andrew,,Cabbagetown-South St.James Town,43.664642,-79.371208,Private room,96,3,74,2022-12-26,0.63,3,166,18,STR-2010-HLLXPK
638500,3 bdrm on Queen West TO,3178928,Lisa Marie,,South Parkdale,43.63907,-79.44036,Entire home/apt,95,28,10,2016-09-26,0.11,1,0,0,
638586,Toronto Downtown near TIFF &  Convention Centre,3186285,Solange,,Waterfront Communities-The Island,43.64356,-79.3903,Entire home/apt,300,28,62,2021-05-23,0.60,1,358,0,
762143,Hidden lakeview oasis downtown,4017316,Patricia,,Waterfront Communities-The Island,43.63708,-79.39198,Entire home/apt,130,180,6,2017-06-03,0.06,1,252,0,
762472,Amazing Loft for rent downtown T.O.,4019741,Peter,,Moss Park,43.65036,-79.36823,Entire home/apt,139,28,0,,,1,0,0,
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,,Rosedale-Moore Park,43.67129,-79.38634,Private room,79,28,8,2017-08-27,0.06,13,221,0,
643389,"Bachelor Apt, 2nd flr, South Window",3217095,Mark,,South Parkdale,43.63589,-79.42796,Entire home/apt,65,28,3,2017-05-20,0.04,1,0,0,
45399,Fountain View Studio - Eaton center,195095,Urbano,,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,140,28,83,2022-08-21,0.56,13,281,4,
771141,Studio Loft/Walk to Eaton Center,4068231,Margaret,,Moss Park,43.65802,-79.37108,Entire home/apt,79,31,31,2023-01-15,0.26,3,283,4,
643916,Basement apartment (1 bdrm) in lower Junction,574360,Yvonne,,Junction Area,43.66308,-79.47795,Entire home/apt,120,28,5,2016-04-27,0.05,1,214,0,
774352,Ultimate Yorkville Luxury,4085292,Sky Suites,,Bay Street Corridor,43.66896,-79.38671,Entire home/apt,400,28,70,2022-04-15,0.73,3,365,1,
654048,Large 4 Bedroom House in Toronto Private Clean,3289972,Minoo,,Morningside,43.7837,-79.20675,Entire home/apt,190,28,16,2022-09-30,0.13,1,301,1,
777132,Nice view in uptown Toronto!,1664833,Romain-Francois,,Don Valley Village,43.77659,-79.35056,Private room,55,1,192,2023-01-20,1.57,1,30,30,STR-2205-GPSKVG
45453,Yonge & Bloor 2 Bedroom Master,195095,Urbano,,Rosedale-Moore Park,43.67128,-79.38422,Private room,105,28,9,2018-09-02,0.06,13,221,0,
1037034,Hip 3bdrm house with yard+garage,5709010,Jode,,Dovercourt-Wallace Emerson-Junction,43.66695,-79.42156,Entire home/apt,125,28,58,2020-01-09,0.49,1,0,0,
45893,Yonge & Bloor Lakeview Master BR,195095,Urbano,,Rosedale-Moore Park,43.6718,-79.38488,Private room,90,28,20,2022-12-24,0.13,13,221,1,
779670,Rosedale Furnished Modern 4 Bed House Prking&Yard,4111007,Stephanie,,Rosedale-Moore Park,43.67716,-79.38653,Entire home/apt,420,28,1,2019-05-10,0.02,1,251,0,
1042311,1 Bedroom in Leslieville Toronto!,5736902,Christine,,South Riverdale,43.666,-79.33684,Entire home/apt,85,30,37,2022-09-10,0.33,1,98,5,STR-2009-FKBDPB
788710,Luxury Toronto Apartment,844281,Richard,,High Park-Swansea,43.64366,-79.45216,Entire home/apt,80,30,2,2020-04-14,0.02,1,0,0,
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,153,28,58,2022-07-03,0.39,13,148,1,
1057144,Beautiful Toronto Home opp Park,265033,Vivienne,,Dufferin Grove,43.65883,-79.43081,Entire home/apt,225,28,6,2016-10-28,0.06,1,358,0,
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,55,91,24,2018-11-11,0.30,1,0,0,
789266,Walk to Trendy Eateries from a Vibrant Apartment,3921786,Michelle,,Junction Area,43.66682,-79.47394,Entire home/apt,125,28,120,2022-11-20,1.93,1,68,25,STR-2009-JCLXPM
790887,Yonge & Wellesley Prime Downtown Shared Apartment,2056128,Robert,,Church-Yonge Corridor,43.66414,-79.38351,Private room,164,1,429,2023-01-24,3.65,2,51,73,STR-2204-GLMPHG
1058442,2 Bedroom Penthouse Downtown,1805882,Elisabeth,,Church-Yonge Corridor,43.65456,-79.37906,Entire home/apt,375,30,2,2018-07-31,0.02,3,365,0,
791012,1+ den near CN Tower w/ parking,4167411,Andie,,Waterfront Communities-The Island,43.63923,-79.39358,Entire home/apt,130,28,4,2015-08-16,0.04,1,0,0,
794506,Beautiful suite in Downtown Toronto,4186011,Oron,,Waterfront Communities-The Island,43.63996,-79.39109,Entire home/apt,180,3,103,2023-01-30,0.97,1,333,47,STR-2011-HZQKVM
64635,Furnished Heritage Rooms Downtown 2,304551,Kintoo,,Niagara,43.64482,-79.40897,Private room,45,85,15,2022-12-24,0.11,5,288,4,
