id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42516876,Rental unit in Toronto · 1 bedroom · 1 bed · 1 shared bath,335689799,Argelia,,Yonge-St.Clair,43.69251,-79.39576,Private room,70,28,0,,,1,0,0,
842016,Rental unit in Toronto · 1 bedroom · 1 bed · 1 shared bath,1930866,Drea,,Casa Loma,43.68388,-79.40719,Shared room,76,28,0,,,1,0,0,
537679,Rental unit in Guelph · 1 bedroom · 1 bed · 3 baths,2586974,Yin,,Mimico (includes Humber Bay Shores),43.62452,-79.48793,Private room,200,28,0,,,1,0,0,
42855993,Condo in Toronto · 1 bedroom · 1 private bath,24051079,Idalia,,Bathurst Manor,43.7534,-79.4542,Private room,95,28,0,,,1,0,0,
851776086749143092,Home in Toronto · 1 bedroom · 3 beds · 1 bath,492072839,Steve,,Wexford/Maryvale,43.73819,-79.29578,Entire home/apt,129,121,0,,,95,363,0,
11009319,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,57129847,Hannah,,Wychwood,43.68015,-79.43362,Private room,27,28,1,2016-02-27,0.01,1,0,0,
755879129616458127,Rental unit in Toronto · ★3.0 · 4 bedrooms · 2 beds · 3 shared baths,151654117,Reza,,Old East York,43.69065,-79.34264,Private room,58,28,3,2023-02-12,0.31,13,364,3,STR-2207-FGQBHB
8506777,Rental unit in Toronto · ★4.88 · 1 bedroom · 1 bed · 1 bath,44617869,Britt,,Niagara,43.64479,-79.41577,Entire home/apt,113,28,17,2019-09-15,0.18,1,0,0,
9959199,Condo in Toronto · 2 bedrooms · 3 beds · 2 baths,11766501,Lance,,Waterfront Communities-The Island,43.6388,-79.39129,Entire home/apt,170,28,0,,,1,0,0,
9704770,Rental unit in Toronto · Studio · 1 bed · 1 bath,9228300,Shawn,,Rosedale-Moore Park,43.68511,-79.39206,Entire home/apt,40,28,0,,,1,0,0,
778870557014558728,Condo in Toronto · ★4.61 · 3 bedrooms · 3 beds · 1.5 baths,490924881,Mahnoor,,South Riverdale,43.66181,-79.33029,Entire home/apt,369,2,18,2023-08-14,2.02,1,246,18,STR-2211-FRMXVC
40368742,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,218336992,Chen,,Highland Creek,43.78563,-79.17797,Private room,50,28,1,2020-01-05,0.02,4,0,0,
40835718,Rental unit in Toronto · Studio · 2 beds · 1 bath,206140980,Leo,,Kensington-Chinatown,43.65069,-79.39845,Entire home/apt,135,28,0,,,1,0,0,
10392898,Rental unit in Toronto · ★4.79 · 1 bedroom · 2 beds · 1 bath,53508562,Kevin,,West Humber-Clairville,43.73285,-79.57797,Entire home/apt,99,28,19,2017-12-11,0.23,1,0,0,
3775607,Home in Toronto · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,13165498,Albena,,Bayview Village,43.76855,-79.37704,Private room,67,7,19,2023-08-10,0.17,7,134,11,STR-2302-GSJKVT
6184196,Rental unit in Toronto · ★5.0 · 1 bedroom · 2 beds · 1 bath,32076724,Niki,,Willowdale East,43.76831,-79.38891,Entire home/apt,135,365,4,2015-08-04,0.04,1,347,0,
915190124827678249,Guest suite in Toronto · 1 bedroom · 1 bed · 1 private bath,520353026,Tiago,,Pelmo Park-Humberlea,43.71256978990474,-79.52544864269044,Private room,215,7,1,2023-07-19,0.64,1,87,1,STR-2306-HQCRVX
41318991,Rental unit in Toronto · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,324465296,Mihai,,Henry Farm,43.77419,-79.3481,Private room,89,28,7,2021-11-30,0.16,1,75,0,
17239489,Home in Toronto · ★4.62 · 1 bedroom · 2 beds · 1 bath,30597584,Georgina,,East End-Danforth,43.689077064807215,-79.3055702297725,Entire home/apt,95,28,65,2023-07-31,0.85,1,295,21,STR-2012-FLSXVB
48847053,Home in Toronto · ★4.75 · 1 bedroom · 2 beds · 1 bath,195031675,Cheryl,,East End-Danforth,43.67828,-79.30608,Entire home/apt,75,28,8,2023-07-01,0.28,1,7,3,
33604151,Home in Toronto · ★4.67 · 1 bedroom · 1.5 shared baths,144479372,Angela,,Downsview-Roding-CFB,43.7347,-79.47937,Private room,45,28,15,2023-05-04,0.28,3,139,1,
960116697675166419,Home in Toronto · ★New · 2 bedrooms · 2 beds · 1.5 baths,8629878,Rose,,South Riverdale,43.66196,-79.34333,Entire home/apt,144,28,0,,,1,244,0,
9669076,Home in Toronto · ★4.76 · 2 bedrooms · 3 beds · 1 bath,44435857,Francisca,,Ionview,43.73444,-79.27297,Entire home/apt,90,28,45,2022-11-26,0.50,5,331,5,STR-2012-FXPHHD
13376406,Bungalow in Toronto · 1 bedroom · 1 bed · 2 baths,75987640,Stephen,,Don Valley Village,43.78629,-79.34501,Private room,150,28,2,2016-09-03,0.02,1,89,0,
669817155387770115,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,272046245,Naira,,Oakridge,43.6969,-79.27357,Shared room,18,30,1,2023-02-14,0.15,18,335,1,
23884451,Rental unit in Toronto · ★4.40 · 1 bedroom · 1 bed · 1 bath,76373347,Yuling,,Kennedy Park,43.72417,-79.26496,Entire home/apt,47,90,10,2023-03-19,0.20,7,365,1,
52568282,Condo in Toronto · ★4.74 · 1 bedroom · 1 bed · 1 bath,59380567,Christopher,,Downsview-Roding-CFB,43.72598,-79.47976,Entire home/apt,160,28,35,2023-08-16,1.53,1,179,21,STR-2110-FQCVHC
31409530,Home in Toronto · Studio · 1 bed · 1 shared bath,141360071,Shrmila,,Eglinton East,43.741,-79.25607,Private room,30,28,1,2019-03-31,0.02,3,0,0,
20894836,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,125219844,Ming J.,,Bayview Woods-Steeles,43.80462,-79.37408,Private room,78,28,1,2018-04-15,0.02,7,0,0,
1348067,Rental unit in Toronto · ★4.84 · 1 bedroom · 1 bed · 1 bath,377846,Nick & Nena,,East End-Danforth,43.68358,-79.30637,Entire home/apt,92,28,21,2022-06-30,0.17,13,333,0,
17958061,Home in Toronto · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,123205575,Ho Tung,,Danforth,43.68431,-79.32255,Private room,88,7,103,2023-08-11,1.32,5,72,12,STR-2108-FSZHHC
864553753131902847,Home in Toronto · ★4.89 · 1 bedroom · 1 bed · 1 private bath,177958601,Michael,,Downsview-Roding-CFB,43.7370531713031,-79.48502428205889,Private room,100,3,9,2023-09-01,2.43,1,85,9,STR-2304-GWBHHV
